stop_depart_parent_id,stop_arrivee_parent_id,stop_depart_name,stop_arrivee_name,lat_depart_parent,lon_depart_parent,lat_arrivee_parent,lon_arrivee_parent,geometry,troncon_unique_id
S5633,S5672,Sabines,Villeneuve d'Angoulême,43.583822352,3.860158464,43.58873839,3.865721295,"LINESTRING (3.860158464 43.583822352, 3.865721295 43.58873839)",TU000000
S5672,S5433,Villeneuve d'Angoulême,Croix d'Argent,43.58873839,3.865721295,43.59236867,3.86646159,"LINESTRING (3.865721295 43.58873839, 3.86646159 43.59236867)",TU000001
S5433,S5555,Croix d'Argent,Mas Drevon,43.59236867,3.86646159,43.59547669,3.867899195,"LINESTRING (3.86646159 43.59236867, 3.867899195 43.59547669)",TU000002
S5555,S5523,Mas Drevon,Lemasson,43.59547669,3.867899195,43.593723715,3.87328818,"LINESTRING (3.867899195 43.59547669, 3.87328818 43.593723715)",TU000003
S5523,S5635,Lemasson,Saint-Cléophas,43.593723715,3.87328818,43.5949304025,3.8758284025,"LINESTRING (3.87328818 43.593723715, 3.8758284025 43.5949304025)",TU000004
S5635,S5569,Saint-Cléophas,Nouveau Saint-Roch,43.5949304025,3.8758284025,43.59952028,3.875621165,"LINESTRING (3.8758284025 43.5949304025, 3.875621165 43.59952028)",TU000005
S5569,S5629,Nouveau Saint-Roch,Rondelet,43.59952028,3.875621165,43.6033504316667,3.875474865,"LINESTRING (3.875621165 43.59952028, 3.875474865 43.6033504316667)",TU000006
S5629,S5472,Rondelet,Gare Saint-Roch,43.6033504316667,3.875474865,43.60575272,3.88016845,"LINESTRING (3.875474865 43.6033504316667, 3.88016845 43.60575272)",TU000007
S5472,S5426,Gare Saint-Roch,Comédie,43.60575272,3.88016845,43.608366295,3.87970708,"LINESTRING (3.88016845 43.60575272, 3.87970708 43.608366295)",TU000008
S5426,S5431,Comédie,Corum,43.608366295,3.87970708,43.6142813775,3.881920795,"LINESTRING (3.87970708 43.608366295, 3.881920795 43.6142813775)",TU000009
S5431,S5387,Corum,Beaux-Arts,43.6142813775,3.881920795,43.61700916,3.8835351,"LINESTRING (3.881920795 43.6142813775, 3.8835351 43.61700916)",TU000010
S5387,S5509,Beaux-Arts,Jeu de Mail des Abbés,43.61700916,3.8835351,43.6202108,3.88407348,"LINESTRING (3.8835351 43.61700916, 3.88407348 43.6202108)",TU000011
S5509,S5368,Jeu de Mail des Abbés,Aiguelongue,43.6202108,3.88407348,43.6264142775,3.8826203625,"LINESTRING (3.88407348 43.6202108, 3.8826203625 43.6264142775)",TU000012
S5368,S5642,Aiguelongue,Saint-Lazare,43.6264142775,3.8826203625,43.6269325875,3.88880371,"LINESTRING (3.8826203625 43.6264142775, 3.88880371 43.6269325875)",TU000013
S5642,S5177,Saint-Lazare,Charles de Gaulle,43.6269325875,3.88880371,43.62817536375,3.8974032625,"LINESTRING (3.88880371 43.6269325875, 3.8974032625 43.62817536375)",TU000014
S5177,S5181,Charles de Gaulle,Clairval,43.62817536375,3.8974032625,43.630206265,3.902593475,"LINESTRING (3.8974032625 43.62817536375, 3.902593475 43.630206265)",TU000015
S5181,S5189,Clairval,La Galine,43.630206265,3.902593475,43.63147046,3.909026945,"LINESTRING (3.902593475 43.630206265, 3.909026945 43.63147046)",TU000016
S5189,S5176,La Galine,Centurions,43.63147046,3.909026945,43.63281155,3.915710385,"LINESTRING (3.909026945 43.63147046, 3.915710385 43.63281155)",TU000017
S5176,S5196,Centurions,Notre-Dame de Sablassou,43.63281155,3.915710385,43.6341134433333,3.92248383166667,"LINESTRING (3.915710385 43.63281155, 3.92248383166667 43.6341134433333)",TU000018
S5196,S5170,Notre-Dame de Sablassou,Aube Rouge,43.6341134433333,3.92248383166667,43.6389648725,3.9244866975,"LINESTRING (3.92248383166667 43.6341134433333, 3.9244866975 43.6389648725)",TU000019
S5170,S5818,Aube Rouge,Via Domitia,43.6389648725,3.9244866975,43.6465206325,3.9301688725,"LINESTRING (3.9244866975 43.6389648725, 3.9301688725 43.6465206325)",TU000020
S5818,S5186,Via Domitia,Georges Pompidou,43.6465206325,3.9301688725,43.64926689,3.92099404,"LINESTRING (3.9301688725 43.6465206325, 3.92099404 43.64926689)",TU000021
S5186,S5291,Georges Pompidou,Jacou,43.64926689,3.92099404,43.65462876,3.91282845333333,"LINESTRING (3.92099404 43.64926689, 3.91282845333333 43.65462876)",TU000022
S5760,S5761,Saint-Jean de Védas Centre,Saint-Jean le Sec,43.5748751566667,3.83045819333333,43.5708042575,3.8378316925,"LINESTRING (3.83045819333333 43.5748751566667, 3.8378316925 43.5708042575)",TU000023
S5761,S5751,Saint-Jean le Sec,La Condamine,43.5708042575,3.8378316925,43.571601,3.84420752,"LINESTRING (3.8378316925 43.5708042575, 3.84420752 43.571601)",TU000024
S5751,S5766,La Condamine,Victoire 2,43.571601,3.84420752,43.57478939,3.84955883,"LINESTRING (3.84420752 43.571601, 3.84955883 43.57478939)",TU000025
S5766,S5633,Victoire 2,Sabines,43.57478939,3.84955883,43.583822352,3.860158464,"LINESTRING (3.84955883 43.57478939, 3.860158464 43.583822352)",TU000026
S5470,S5514,Garcia Lorca,La Rauze,43.59120512625,3.89046299125,43.59349246,3.895730795,"LINESTRING (3.89046299125 43.59120512625, 3.895730795 43.59349246)",TU000027
S5514,S5479,La Rauze,Georges Frêche - Hôtel de Ville,43.59349246,3.895730795,43.5993348,3.89485735,"LINESTRING (3.895730795 43.59349246, 3.89485735 43.5993348)",TU000028
S5479,S5627,Georges Frêche - Hôtel de Ville,Rives du Lez,43.5993348,3.89485735,43.60404424,3.89493632,"LINESTRING (3.89485735 43.5993348, 3.89493632 43.60404424)",TU000029
S5627,S5606,Rives du Lez,Place de l'Europe,43.60404424,3.89493632,43.6073732642857,3.89375728142857,"LINESTRING (3.89493632 43.60404424, 3.89375728142857 43.6073732642857)",TU000030
S5606,S5613,Place de l'Europe,Pompignane,43.6073732642857,3.89375728142857,43.612593195,3.89495302,"LINESTRING (3.89375728142857 43.6073732642857, 3.89495302 43.612593195)",TU000031
S5613,S5528,Pompignane,Les Aubes,43.612593195,3.89495302,43.6138008275,3.8886448375,"LINESTRING (3.89495302 43.612593195, 3.8886448375 43.6138008275)",TU000032
S5528,S5431,Les Aubes,Corum,43.6138008275,3.8886448375,43.6142813775,3.881920795,"LINESTRING (3.8886448375 43.6138008275, 3.881920795 43.6142813775)",TU000033
S5431,S5532,Corum,Louis Blanc - Agora de la Danse,43.6142813775,3.881920795,43.61474115,3.87836359,"LINESTRING (3.881920795 43.6142813775, 3.87836359 43.61474115)",TU000034
S5532,S5837,Louis Blanc - Agora de la Danse,Albert 1er - Cathédrale,43.61474115,3.87836359,43.614789335,3.873712615,"LINESTRING (3.87836359 43.61474115, 3.873712615 43.614789335)",TU000035
S5837,S5590,Albert 1er - Cathédrale,Peyrou - Arc de Triomphe,43.614789335,3.873712615,43.611411855,3.872260775,"LINESTRING (3.873712615 43.614789335, 3.872260775 43.611411855)",TU000036
S5590,S5639,Peyrou - Arc de Triomphe,Saint-Guilhem - Courreau,43.611411855,3.872260775,43.607957435,3.873695805,"LINESTRING (3.872260775 43.611411855, 3.873695805 43.607957435)",TU000037
S5639,S5570,Saint-Guilhem - Courreau,Observatoire,43.607957435,3.873695805,43.60648325,3.876532465,"LINESTRING (3.873695805 43.607957435, 3.876532465 43.60648325)",TU000038
S5570,S5917,Observatoire,Gare Saint-Roch - République,43.60648325,3.876532465,43.60529725,3.87964274,"LINESTRING (3.876532465 43.60648325, 3.87964274 43.60529725)",TU000039
S5917,S5629,Gare Saint-Roch - République,Rondelet,43.60529725,3.87964274,43.6033504316667,3.875474865,"LINESTRING (3.87964274 43.60529725, 3.875474865 43.6033504316667)",TU000040
S5569,S5643,Nouveau Saint-Roch,Saint-Martin,43.59952028,3.875621165,43.59226806,3.880187605,"LINESTRING (3.875621165 43.59952028, 3.880187605 43.59226806)",TU000041
S5643,S5625,Saint-Martin,Restanque,43.59226806,3.880187605,43.590425105,3.884911805,"LINESTRING (3.880187605 43.59226806, 3.884911805 43.590425105)",TU000042
S5625,S5470,Restanque,Garcia Lorca,43.590425105,3.884911805,43.59120512625,3.89046299125,"LINESTRING (3.884911805 43.590425105, 3.89046299125 43.59120512625)",TU000043
S5563,S5401,Mosson,Celleneuve,43.616387998,3.819643266,43.615757055,3.82588522,"LINESTRING (3.819643266 43.616387998, 3.82588522 43.615757055)",TU000044
S5401,S5598,Celleneuve,Pilory,43.615757055,3.82588522,43.61948637,3.832014765,"LINESTRING (3.82588522 43.615757055, 3.832014765 43.61948637)",TU000045
S5598,S5498,Pilory,Hôtel du Département,43.61948637,3.832014765,43.62187434,3.83501314,"LINESTRING (3.832014765 43.61948637, 3.83501314 43.62187434)",TU000046
S5498,S5588,Hôtel du Département,Pergola,43.62187434,3.83501314,43.6179053,3.83939756,"LINESTRING (3.83501314 43.62187434, 3.83939756 43.6179053)",TU000047
S5588,S5662,Pergola,Tonnelles,43.6179053,3.83939756,43.6136009216667,3.83884714833333,"LINESTRING (3.83939756 43.6179053, 3.83884714833333 43.6136009216667)",TU000048
S5662,S5510,Tonnelles,Jules Guesde,43.6136009216667,3.83884714833333,43.611490395,3.846559375,"LINESTRING (3.83884714833333 43.6136009216667, 3.846559375 43.611490395)",TU000049
S5510,S5383,Jules Guesde,Astruc,43.611490395,3.846559375,43.61021574,3.854777825,"LINESTRING (3.846559375 43.611490395, 3.854777825 43.61021574)",TU000050
S5383,S5527,Astruc,Les Arceaux,43.61021574,3.854777825,43.609937525,3.862094645,"LINESTRING (3.854777825 43.61021574, 3.862094645 43.609937525)",TU000051
S5527,S5610,Les Arceaux,Plan Cabanes,43.609937525,3.862094645,43.608604675,3.86799129,"LINESTRING (3.862094645 43.609937525, 3.86799129 43.608604675)",TU000052
S5610,S5636,Plan Cabanes,Saint-Denis,43.608604675,3.86799129,43.60581572,3.873533025,"LINESTRING (3.86799129 43.608604675, 3.873533025 43.60581572)",TU000053
S5636,S5570,Saint-Denis,Observatoire,43.60581572,3.873533025,43.60648325,3.876532465,"LINESTRING (3.873533025 43.60581572, 3.876532465 43.60648325)",TU000054
S5917,S5604,Gare Saint-Roch - République,Place Carnot,43.60529725,3.87964274,43.6036317566667,3.88400791,"LINESTRING (3.87964274 43.60529725, 3.88400791 43.6036317566667)",TU000055
S5604,S5677,Place Carnot,Voltaire,43.6036317566667,3.88400791,43.60356661,3.88907813,"LINESTRING (3.88400791 43.6036317566667, 3.88907813 43.60356661)",TU000056
S5677,S5918,Voltaire,Rives du Lez - Consuls de Mer,43.60356661,3.88907813,43.603966535,3.89377753,"LINESTRING (3.88907813 43.60356661, 3.89377753 43.603966535)",TU000057
S5918,S5564,Rives du Lez - Consuls de Mer,Moularès (Hôtel de Ville),43.603966535,3.89377753,43.60073391,3.8953965,"LINESTRING (3.89377753 43.603966535, 3.8953965 43.60073391)",TU000058
S5564,S5614,Moularès (Hôtel de Ville),Port Marianne,43.60073391,3.8953965,43.6020179433333,3.89975705,"LINESTRING (3.8953965 43.60073391, 3.89975705 43.6020179433333)",TU000059
S5614,S5575,Port Marianne,Pablo Picasso,43.6020179433333,3.89975705,43.59791192,3.903433905,"LINESTRING (3.89975705 43.6020179433333, 3.903433905 43.59791192)",TU000060
S5575,S5326,Pablo Picasso,Boirargues,43.59791192,3.903433905,43.582516072,3.926062458,"LINESTRING (3.903433905 43.59791192, 3.926062458 43.582516072)",TU000061
S5563,S5311,Mosson,Juvignac,43.616387998,3.819643266,43.6175292,3.80998197,"LINESTRING (3.819643266 43.616387998, 3.80998197 43.6175292)",TU000062
S5326,S5331,Boirargues,Cougourlude,43.582516072,3.926062458,43.5713968166667,3.91418072,"LINESTRING (3.926062458 43.582516072, 3.91418072 43.5713968166667)",TU000063
S5331,S5327,Cougourlude,Lattes Centre,43.5713968166667,3.91418072,43.5707753533333,3.90519991333333,"LINESTRING (3.91418072 43.5713968166667, 3.90519991333333 43.5707753533333)",TU000064
S5326,S5685,Boirargues,EcoPôle,43.582516072,3.926062458,43.5781151725,3.9350316725,"LINESTRING (3.926062458 43.582516072, 3.9350316725 43.5781151725)",TU000065
S5685,S5687,EcoPôle,Parc Expo,43.5781151725,3.9350316725,43.57287936,3.94524544333333,"LINESTRING (3.9350316725 43.5781151725, 3.94524544333333 43.57287936)",TU000066
S5687,S5688,Parc Expo,Pérols Centre,43.57287936,3.94524544333333,43.56554317,3.957232715,"LINESTRING (3.94524544333333 43.57287936, 3.957232715 43.56554317)",TU000067
S5688,S5689,Pérols Centre,Pérols Étang de l'Or,43.56554317,3.957232715,43.5576443766667,3.96341799,"LINESTRING (3.957232715 43.56554317, 3.96341799 43.5576443766667)",TU000068
S5969,S5572,Gare Sud de France,Odysseum,43.59704617,3.9221312,43.6042340125,3.9199430925,"LINESTRING (3.9221312 43.59704617, 3.9199430925 43.6042340125)",TU000069
S5572,S5605,Odysseum,Place de France,43.6042340125,3.9199430925,43.603759528,3.915564274,"LINESTRING (3.9199430925 43.6042340125, 3.915564274 43.603759528)",TU000070
S5605,S5559,Place de France,Millénaire,43.603759528,3.915564274,43.6031326475,3.910093335,"LINESTRING (3.915564274 43.603759528, 3.910093335 43.6031326475)",TU000071
S5559,S5560,Millénaire,Mondial 98,43.6031326475,3.910093335,43.60263072,3.90410762,"LINESTRING (3.910093335 43.6031326475, 3.90410762 43.60263072)",TU000072
S5560,S5614,Mondial 98,Port Marianne,43.60263072,3.90410762,43.6020179433333,3.89975705,"LINESTRING (3.90410762 43.60263072, 3.89975705 43.6020179433333)",TU000073
S5564,S5627,Moularès (Hôtel de Ville),Rives du Lez,43.60073391,3.8953965,43.60404424,3.89493632,"LINESTRING (3.8953965 43.60073391, 3.89493632 43.60404424)",TU000074
S5606,S5524,Place de l'Europe,Léon Blum,43.6073732642857,3.89375728142857,43.6090469666667,3.89024981,"LINESTRING (3.89375728142857 43.6073732642857, 3.89024981 43.6090469666667)",TU000075
S5524,S5378,Léon Blum,Antigone,43.6090469666667,3.89024981,43.60859521,3.886647645,"LINESTRING (3.89024981 43.6090469666667, 3.886647645 43.60859521)",TU000076
S5378,S5441,Antigone,Du Guesclin,43.60859521,3.886647645,43.60712037,3.88323022,"LINESTRING (3.886647645 43.60859521, 3.88323022 43.60712037)",TU000077
S5441,S5472,Du Guesclin,Gare Saint-Roch,43.60712037,3.88323022,43.60575272,3.88016845,"LINESTRING (3.88323022 43.60712037, 3.88016845 43.60575272)",TU000078
S5532,S5603,Louis Blanc - Agora de la Danse,Place Albert 1er - Saint-Charles,43.61474115,3.87836359,43.61642662,3.874263985,"LINESTRING (3.87836359 43.61474115, 3.874263985 43.61642662)",TU000079
S5603,S5660,Place Albert 1er - Saint-Charles,Stade Philippidès,43.61642662,3.874263985,43.6189891,3.869482365,"LINESTRING (3.874263985 43.61642662, 3.869482365 43.6189891)",TU000080
S5660,S5930,Stade Philippidès,Boutonnet - Cité des Arts,43.6189891,3.869482365,43.62259098,3.868106445,"LINESTRING (3.869482365 43.6189891, 3.868106445 43.62259098)",TU000081
S5930,S5637,Boutonnet - Cité des Arts,Saint-Éloi,43.62259098,3.868106445,43.626668085,3.8660221925,"LINESTRING (3.868106445 43.62259098, 3.8660221925 43.626668085)",TU000082
S5637,S5665,Saint-Éloi,Universités Sciences et Lettres,43.626668085,3.8660221925,43.629406725,3.86131316166667,"LINESTRING (3.8660221925 43.626668085, 3.86131316166667 43.629406725)",TU000083
S5665,S5496,Universités Sciences et Lettres,Hôpital Lapeyronie,43.629406725,3.86131316166667,43.63165986,3.852587935,"LINESTRING (3.86131316166667 43.629406725, 3.852587935 43.63165986)",TU000084
S5496,S5571,Hôpital Lapeyronie,Occitanie,43.63165986,3.852587935,43.6346144,3.84841683166667,"LINESTRING (3.852587935 43.63165986, 3.84841683166667 43.6346144)",TU000085
S5571,S5409,Occitanie,Château d'Ô,43.6346144,3.84841683166667,43.631475258,3.842887188,"LINESTRING (3.84841683166667 43.6346144, 3.842887188 43.631475258)",TU000086
S5409,S5544,Château d'Ô,Malbosc - Domaine d'Ô,43.631475258,3.842887188,43.6347173625,3.8332986175,"LINESTRING (3.842887188 43.631475258, 3.8332986175 43.6347173625)",TU000087
S5544,S5453,Malbosc - Domaine d'Ô,Euromédecine,43.6347173625,3.8332986175,43.63905096,3.828146522,"LINESTRING (3.8332986175 43.6347173625, 3.828146522 43.63905096)",TU000088
S5453,S5490,Euromédecine,Hauts de Massane,43.63905096,3.828146522,43.63625433,3.82271583,"LINESTRING (3.828146522 43.63905096, 3.82271583 43.63625433)",TU000089
S5490,S5646,Hauts de Massane,Saint-Paul,43.63625433,3.82271583,43.63067175,3.821076105,"LINESTRING (3.82271583 43.63625433, 3.821076105 43.63067175)",TU000090
S5646,S5489,Saint-Paul,Halles de la Paillade,43.63067175,3.821076105,43.62757004,3.817486975,"LINESTRING (3.821076105 43.63067175, 3.817486975 43.62757004)",TU000091
S5489,S5659,Halles de la Paillade,Stade de la Mosson,43.62757004,3.817486975,43.621274275,3.817379425,"LINESTRING (3.817486975 43.62757004, 3.817379425 43.621274275)",TU000092
S5659,S5563,Stade de la Mosson,Mosson,43.621274275,3.817379425,43.616387998,3.819643266,"LINESTRING (3.817379425 43.621274275, 3.819643266 43.616387998)",TU000093
